,canonical_Smiles,pIC50,pIC50,pIC50
,,mean,median,var
0,Brc1ccc(-c2csc(N/N=C/c3cc4ccccc4s3)n2)cc1,4.432973633840939,4.432973633840939,
1,Brc1ccc(-c2nnn3c2C2c4ccccc4CCN2Cc2ccccc2-3)cc1,7.064240896254688,7.064240896254688,
2,Brc1ccc(Cn2cc(COc3ccccc3)nn2)cc1,4.274357844485582,4.274357844485582,
3,Brc1ccc2c(c1)Cc1c-2[nH]c2ccccc12,3.646630104753793,3.646630104753793,
4,C(=N/Nc1nc(-c2ccccc2)cs1)\c1cccs1,4.040314802086419,4.040314802086419,
5,C(=N/Nc1nc(C23CC4CC(CC(C4)C2)C3)cs1)\c1cc2ccccc2s1,4.809668301829708,4.809668301829708,
6,C/C(=C/O[C@@H]1O[C@H](COC(=O)c2cc(O)c(O)c(O)c2)[C@@H](O)[C@H](O)[C@H]1O)C(=O)O,4.502130858502906,4.502130858502906,
7,C/C(=C\c1c(C)c(O)cc2c1[nH]c1c(O)ccc(C=O)c12)CCC(C)C,5.1487416512809245,5.1487416512809245,
8,C/C(=C\c1c(C)c(O)cc2c1[nH]c1c(O)ccc(CO)c12)CCC(C)C,5.00436480540245,5.00436480540245,
9,C/C(=N/NC(=O)c1cc2ccc(O)cc2oc1=N)c1nc(-c2ccccc2)[nH]c1C,0.6035773678352996,0.6035773678352996,
10,C/C(=N/Nc1nc(-c2cccc([N+](=O)[O-])c2)cs1)C1CC1,2.899629454882437,2.899629454882437,
11,C/C(=N/Nc1nc(-c2cccc([N+](=O)[O-])c2)cs1)C1CCCCC1,2.869666231504993,2.869666231504993,
12,C/C(=N\CC1(CC(=O)O)CCCCC1)c1c[nH]c2ccccc12,3.251673176046308,3.251673176046308,
13,C/C(=N\CC1(CC(=O)O)CCCCC1)c1ccccn1,3.1487948709077225,3.1487948709077225,
14,C/C(=N\CC1(CC(=O)O)CCCCC1)c1cccnc1,3.141280581345246,3.141280581345246,
15,C/C(=N\N=C1\N=C(c2cc3ccccc3o2)CS1)c1nc(-c2ccccc2)[nH]c1C,1.2185355062240912,1.2185355062240912,
16,C/C(=N\N=C1\N=C(c2cc3ccccc3oc2=O)CS1)c1nc(-c2ccccc2)[nH]c1C,0.3439007117729673,0.3439007117729673,
17,C/C(=N\N=C1\N=C(c2ccccc2)CS1)c1nc(-c2ccccc2)[nH]c1C,1.174350599320789,1.174350599320789,
18,C/C(=N\N=C1\N=C2N=c3ccccc3=NC2S1)c1nc(-c2ccccc2)[nH]c1C,1.8056367578285064,1.8056367578285064,
19,C/C(=N\N=C1\NC(=O)/C(=C/c2ccc(F)cc2)S1)c1nc(-c2ccccc2)[nH]c1C,1.826851945353852,1.826851945353852,
20,C/C(=N\N=C1\NC(=O)/C(=C/c2cn(-c3ccccc3)nc2-c2cc3ccccc3o2)S1)c1nc(-c2ccccc2)[nH]c1C,0.4651596976861345,0.4651596976861345,
21,C/C(=N\N=C1\NC(=O)/C(=C/c2cn(-c3ccccc3)nc2-c2cccs2)S1)c1nc(-c2ccccc2)[nH]c1C,0.4390957412924123,0.4390957412924123,
22,C/C(=N\N=C1\NC(=O)CS1)c1nc(-c2ccccc2)[nH]c1C,1.3991889771997217,1.3991889771997217,
23,C/C(=N\NC(=O)/C(C#N)=C\c1ccc(F)cc1)c1nc(-c2ccccc2)[nH]c1C,0.2871296209115037,0.2871296209115037,
24,C/C(=N\NC(=O)/C(C#N)=C\c1cn(-c2ccccc2)nc1-c1cc2ccccc2o1)c1nc(-c2ccccc2)[nH]c1C,0.4405942616669822,0.4405942616669822,
25,C/C(=N\NC(=O)/C(C#N)=C\c1cn(-c2ccccc2)nc1-c1cccs1)c1nc(-c2ccccc2)[nH]c1C,0.4129642714616128,0.4129642714616128,
26,C/C(=N\NC(=O)CC#N)c1nc(-c2ccccc2)[nH]c1C,0.4491697320605361,0.4491697320605361,
27,C/C(=N\NC(N)=S)c1nc(-c2ccccc2)[nH]c1C,1.6409184925263949,1.6409184925263949,
28,C/C(=N\O)c1ccc([Te]CCCO)cc1,4.390288229746663,4.390288229746663,
29,C/C(CC(C)C)=N/Nc1nc(-c2cccc([N+](=O)[O-])c2)cs1,2.869666231504993,2.869666231504993,
30,C/C=C(/C)C(=O)OCc1c(C(C)=O)c(O)c(OC)c2c1[C@@H](C)CC=C2,3.6989700043360183,3.6989700043360183,
31,C/C=C(/C)C(=O)OCc1c(C(C)=O)c(O)c(OC)c2c1[C@@H](C)[C@@H](O)C=C2,3.6989700043360183,3.6989700043360183,
32,C/C=C(/C)C(=O)OCc1c(C(C)=O)c(O)c(OC)c2c1[C@@H](C)[C@@H]1O[C@@H]1[C@H]2O,3.6989700043360183,3.6989700043360183,
33,C/C=C(/C)C(=O)OCc1c2c(c(OC)c3occ(C)c13)C(=O)[C@H]1O[C@H]1[C@@H]2C,3.6989700043360183,3.6989700043360183,
34,C/C=C/CCCCc1c(O)cc(CC=C(C)C)c(O)c1C=O,4.0656076103588985,4.0656076103588985,
35,C/C=C/c1cc2c(c(=O)o1)-c1c(O)c(O)c(OC)c(C(=O)O)c1C(O)O2,4.707079700399994,4.707079700399994,
36,C/C=C/c1cc2c(c(=O)o1)-c1c(O)c(O)c(OC)c(C(=O)O)c1C(OC)O2,4.856360764725457,4.856360764725457,
37,C/C=C/c1cc2c(c(=O)o1)-c1c(O)c(O)c(OC)c(C(=O)O)c1CO2,4.714217726220605,4.714217726220605,
38,C/C=C/c1cc2c(c(=O)o1)-c1c(O)c(O)c(OC)c(C=O)c1C(O)O2,4.337147766735204,4.337147766735204,
39,C/C=C/c1cc2c(c(=O)o1)-c1c(O)c(O)c(OC)c(C=O)c1C(OC(C)C)O2,4.574465779501737,4.574465779501737,
40,C/C=C/c1cc2c(c(=O)o1)-c1c(O)c(O)c(OC)c(C=O)c1C(OC)O2,4.543785844642011,4.543785844642011,
41,C/C=C/c1cc2c(c(=O)o1)-c1c(O)c(O)c(OC)c(C=O)c1CO2,4.3810110796350665,4.3810110796350665,
42,C/C=C/c1ccc2oc(-c3ccc(O)cc3O)cc2c1,4.655607726314889,4.655607726314889,
43,C/C=C/c1ccc2oc(-c3ccc(O)cc3OC)cc2c1,4.440093374963888,4.440093374963888,
44,C/C=C/c1ccc2oc(-c3ccc(OC)cc3O)cc2c1,4.616184634019569,4.616184634019569,
45,C/C=C1/[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)OC)[C@H]1CC(=O)OCCc1ccc(O)c(O)c1,4.681102285372513,4.681102285372513,
46,C/C=C1\NC(=O)C(C(C2=C(O)/C(=C/C)NC2=O)[C@H](O)CO)=C1O,4.431798275933005,4.431798275933005,
47,C/C=C1\NC(=O)C(CC2=C(O)/C(=C/C)NC2=O)=C1O,4.468521082957745,4.468521082957745,
48,C/C=C\c1ccc(O)c(OC)c1,4.390725827595412,4.390725827595412,
49,C/[N+]([O-])=C1\C(=O)Nc2ccc([N+](=O)[O-])cc21,5.920818753952375,5.920818753952375,
50,C/[N+]([O-])=C1\CCc2cc(F)ccc21,5.7447274948966935,5.7447274948966935,
51,C/[N+]([O-])=C1\CCc2ccccc21,5.886056647693163,5.886056647693163,
52,C=C(C)C(O)CC/C(C)=C/Cc1c(O)cc2c(c1O)C(=O)C[C@@H](c1ccc(O)c(O)c1)O2,4.698970004336019,4.698970004336019,
53,C=C(C)C(O)Cc1c(O)cc2c(c1O)C(=O)C[C@@H](c1ccc(O)c(O)c1C/C=C(\C)CCC=C(C)C)O2,4.481486060122113,4.481486060122113,
54,C=C(C)C1CC2(CC=C(C)C)CC(=O)C(C(O)=C(C(=O)c3ccc(O)c(O)c3)C2=O)C1(C)C,4.412289034981089,4.412289034981089,
55,C=C(C)C1CC=C(C)C(=O)C1,1.108484073609417,1.108484073609417,
56,C=C(C)C1CCC2C(CC=C(C)C)C(C)(C)C3(CC=C(C)C)C(=O)C(C(=O)c4ccc(O)c(O)c4)=C(O)C2(CC1(C)C)C3=O,4.1938200260161125,4.1938200260161125,
57,C=C(C)CCOC(=O)/C=C/c1ccc(O)c(O)c1,5.022276394711152,5.022276394711152,
58,C=C(C)CC[C@H](C[C@]12C[C@H](CC=C(C)C)C(C)(C)[C@](CC=C(C)C)(C(=O)C(C(=O)c3ccc(O)c(O)c3)=C1O)C2=O)C(=C)C,4.275724130399211,4.275724130399211,
59,C=C(C)[C@@H](C=C(C)C)C[C@]12C[C@H](CC=C(C)C)C(C)(C)[C@](CC=C(C)C)(C(=O)C(C(=O)c3ccc(O)c(O)c3)=C1O)C2=O,4.167491087293763,4.167491087293763,
60,C=C(C)[C@@H](CC=C(C)C)C[C@@]12C[C@@H](CC=C(C)C)C(C)(C)[C@@](CC=C(C)C)(C(=O)C(C(=O)c3ccc(O)c(O)c3)=C1O)C2=O,4.991399828238082,4.991399828238082,
61,C=C1C=CC(C(C)C)CC1,0.0279862102201668,0.0279862102201668,
62,C=C1CC/C=C(/C)CC[C@@H]2[C@@H]1CC2(C)C,4.742273439441368,4.742273439441368,
63,C=C1CCC2(C(C)C)CC12,-0.2326192757275063,-0.2326192757275063,
