canonical_Smiles,active
Cc1cc(/N=C/c2ccc(Br)cc2)c(C(C)C)cc1O,1
CCOC(=O)[C@H]1OC(=O)c2cc(O)c(O)c(O)c2[C@@H]1[C@@H](CC(=O)O)C(=O)OCC,1
O=C1c2c(O)cc(O)cc2O[C@H](c2cc(O)ccc2O)[C@H]1O,1
Cc1c(O)cc(O)cc1[C@H](C)[C@@H](C)O,1
COc1ccc(CC(=O)c2c(O)cc(O)cc2O)cc1,1
COc1cc(/C=N/c2ccc(O)cc2)cc(OC)c1,0
N#Cc1ncn(-c2ccc(O)cc2)c1/N=C/c1cc(O)c(O)c(O)c1,1
N[C@@H](Cc1ccc(OC(=O)c2ccc(O)cc2)cc1)C(=O)O,1
CCCCCCC[C@H](O)CC(=O)CCc1ccc(O)c(OC)c1,1
CCOC1Cc2c(C(C)=O)c(O)c3ccccc3c2O1,1
CN(CCCCCCCOc1cc(O)c2c(=O)c3ccccc3oc2c1)Cc1ccc(O)cc1,0
CC(C)=CCC/C(C)=C/Cc1c([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)ccc(O)c1O,1
COc1ccc(-c2cc(=O)c3c(O)c(OC)c(O)cc3o2)cc1,0
C[C@@H]1O[C@@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@H](O)[C@H]1O,1
COc1cc(/C=C/C(=O)OC[C@H]2O[C@H](O[C@]3(CO)O[C@H](CO)[C@@H](OC(=O)/C=C/c4cc(OC)c(O)c(OC)c4)[C@@H]3OC(=O)/C=C/c3cc(OC)c(O)c(OC)c3)[C@H](O)[C@@H](O)[C@@H]2O)cc(OC)c1O,1
COc1cc(/C=C/C(=O)O)cc(OC)c1O,1
O=C(/C=C/c1ccc(C(=O)Nc2nnc(-c3ccc(O)c(O)c3)s2)cc1)c1ccc([N+](=O)[O-])cc1,1
COc1cc([C@@H](O)[C@@H](CO)Oc2ccc([C@@H](O)[C@H](O)CO)cc2OC)ccc1O,1
O=c1ccc2ccc(O)c(O)c2o1,0
COc1cc(/C=N/NC(=O)c2ccncc2)cc(O)c1O,1
CCCCCC1(CCCCC)OC(=O)[C@]2(C[C@@H](O)[C@H](O)[C@H](OC(=O)/C=C/c3ccc(O)c(O)c3)C2)O1,1
Cc1cc(O)c(C(C)C)cc1/N=C/c1cc(Br)c(O)c(Br)c1,1
O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0
O=C(NCCCCCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1)c1ccc(O)c(O)c1.[Br-],1
O=C(/C=C/c1cc(O)ccc1O)CC(=O)c1ccc(O)c(O)c1,1
Oc1cc(O)cc(Oc2c(O)cc(O)c3c2Oc2c(O)cc(Oc4c(O)cc(Oc5c(O)cc(O)c6c5Oc5c(O)cc(O)cc5O6)cc4O)cc2O3)c1,1
COc1cccc(C(=O)/C=C/c2ccc(C(=O)Nc3nnc(-c4ccc(O)c(O)c4)s3)cc2)c1,1
COc1cc([C@@H](O)[C@H](CO)Oc2c(OC)cc([C@@H](O)[C@H](O)CO)cc2OC)ccc1O,0
