canonical_smiles,active
O=S(=O)(c1ccccc1)c1ccc(C(O)Cc2cn(Cc3ccccc3)nn2)cc1,0
COc1cccc(/C=N/c2ccccc2O)c1,1
Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)NCCCCCCNc1c3c(nc4ccccc14)CCCC3)O2,1
CCC[C@H]1OC(=O)/C=C\C=C\[C@H](O)[C@@H](O)[C@@H]1[C@H](C)COC(=O)c1ccc(O)cc1,1
CC1=NN(c2ccccc2)C(=O)C1,1
NC(CCC(=O)n1c(OCc2ccccc2Cl)nc2ccccc2c1=O)C(=O)O,1
Cc1cc(O)c(C(C)(C)C)cc1/N=C/c1ccc(Br)cc1,1
O=C1O/C(=C\c2ccc(O)cc2)C(O)=C1c1ccc(O)cc1,0
COc1ccc(/C=N/CC2(CC(=O)O)CCCCC2)cc1,0
CCOC(=O)N1CCC(=NNC(=O)c2ccc(Cl)cc2)CC1,1
CS(=O)(=O)[O-].O=C(Cc1cc(O)c(O)c(O)c1)NCCCCCCCCCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1,1
COc1cc(CCC(=O)NCCCCNC(=O)CCc2ccc(O)c(OC)c2)ccc1O,1
COc1ccc(C=C2C(=O)OC(C)(C)OC2=O)cc1O,1
O=C(/C=C/c1ccc(O)c(O)c1)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O,1
COc1cc(/C=C/C(=O)NCCNC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,1
O=C(/C=C/c1ccc(O)c2oc(-c3ccc(O)c(O)c3)cc12)NCc1ccccc1,1
COc1cc([C@@H]2OC[C@@H]3[C@H]2CO[C@H]3c2ccc(O)c(OC)c2)ccc1O,1
CCOC(=O)N1CCC(=NNC(=O)c2ccc(C(F)(F)F)cc2)CC1,1
COc1cc(/C=C/C(C)=O)ccc1O,0
CC(C)=CCc1c(O)cc([C@@H](Oc2ccc(/C=C/c3cc(O)c4c(c3)OC(C)(C)CC4)cc2)[C@@H](C)c2ccc(O)cc2)cc1O,0
Cc1c(O)cc2c([nH]c3ccccc32)c1CC(C)O,1
N[C@@H](CCC(=O)NNc1ccc(O)cc1O)C(=O)O,0
COC(=O)c1cc(O)c(O)c(O)c1,1
COc1cc2c(cc1OC)-c1[nH]c3ccccc3c1C2,1
COc1ccc(O)c(/C=N/NC(=O)c2ccc(-c3nc4cccc(C)c4[nH]3)cc2)c1,1
Nc1ccc(S(=O)(=O)N(Cc2ccc(Br)cc2F)c2cc(F)c(O)c(F)c2)cc1,1
COC(=O)c1cc(O)c(O)c(OC)c1,0
CCO[C@H](c1ccc(O[C@@H](CO)[C@@H](O)c2ccc(O)c(OC)c2)c(OC)c1)[C@@H](CO)c1ccc(O)c(OC)c1,1
[O-]/[N+](Cc1ccccc1)=C1/CCc2ccccc21,1
C=CCOc1c(/C=C/C(=O)c2cccc(CC=C)c2O)cccc1OC,0
COc1ccc(NCn2nc(-c3ccc4c(c3)OCCO4)oc2=S)cc1,1
