canonical_Smiles,pIC50,is_phenol,active
O=CN1CCc2cc3c(c4c2[C@H]1Cc1ccccc1-4)OCO3,3.915781313260761,0,0
O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,4.283162276700476,0,1
Cc1c(/N=C/c2ccccc2)c(=O)n(-c2ccccc2)n1C,4.505011026316832,0,1
Cc1c(/N=C/c2ccc(Cl)cc2)c(=O)n(-c2ccccc2)n1C,4.499214827082544,0,1
Cc1c(/N=C/c2ccc(N(C)C)cc2)c(=O)n(-c2ccccc2)n1C,5.614393726401688,0,1
Cc1c(/N=C/c2ccc(O)cc2)c(=O)n(-c2ccccc2)n1C,4.72584215073632,1,1
COc1ccc(/C=N/c2c(C)n(C)n(-c3ccccc3)c2=O)cc1,4.816160962943579,0,1
Cc1c(/N=C/c2ccc(O)c(O)c2)c(=O)n(-c2ccccc2)n1C,6.031517051446064,1,1
COc1cc(/C=N/c2c(C)n(C)n(-c3ccccc3)c2=O)ccc1O,5.94692155651658,1,1
COc1ccc(/C=N/c2c(C)n(C)n(-c3ccccc3)c2=O)cc1OC,5.138465589140962,0,1
Cc1c(/N=C/c2ccc(O)cc2O)c(=O)n(-c2ccccc2)n1C,5.6020599913279625,1,1
COc1ccc(/C=N/c2c(C)n(C)n(-c3ccccc3)c2=O)c(OC)c1,4.837734385701978,0,1
Cc1c(/N=C/c2c(O)cc(O)cc2O)c(=O)n(-c2ccccc2)n1C,6.356547323513812,1,1
COc1cc(/C=N/c2c(C)n(C)n(-c3ccccc3)c2=O)cc(OC)c1O,5.779891911959945,1,1
COc1ccc(/C=N/c2c(C)n(C)n(-c3ccccc3)c2=O)cc1C,5.282329496997738,0,1
Cc1c(/N=C/c2ccccc2C=O)c(=O)n(-c2ccccc2)n1C,4.46268472688799,0,1
Cc1c(/N=C/c2ccccc2/C=N/c2c(C)n(C)n(-c3ccccc3)c2=O)c(=O)n(-c2ccccc2)n1C,5.503070351926786,0,1
O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,6.3872161432802645,0,1
Cc1n[nH]c(=O)n1/N=C/c1ccc(O)c(O)c1,6.97061622231479,1,1
O=c1[nH]nc(Cc2ccccc2)n1/N=C/c1ccc(O)c(O)c1,7.075720713938118,1,1
O=c1[nH]nc(Cc2ccc(Cl)cc2)n1/N=C/c1ccc(O)c(O)c1,7.1249387366083,1,1
COc1ccc(Cc2n[nH]c(=O)n2/N=C/c2ccc(O)c(O)c2)cc1,6.832682665251824,1,1
O=c1[nH]nc(-c2ccccc2)n1/N=C/c1ccc(O)c(O)c1,5.772884917410875,1,1
O=c1[nH]nc(C2CC2)n1/N=C/c1ccc(O)c(O)c1,6.71669877129645,1,1
Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,6.742321425130816,1,1
COc1ccc2c(c1)OC/C(=C\c1cc(OC)c(O)c(OC)c1)C2=O,4.512013668870607,1,1
Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,4.440452444419566,1,1
O=C1/C(=C/c2ccc(O)c(O)c2)COc2cc(O)ccc21,4.455931955649724,1,1
CCCCOc1ccc2c(c1)OC/C(=C\c1ccc(O)c(O)c1)C2=O,4.610833915635467,1,1
CCCOc1ccc2c(c1)OC/C(=C\c1ccc(O)c(O)c1)C2=O,4.594482893023624,1,1
CCOc1ccc2c(c1)OC/C(=C\c1ccc(O)c(O)c1)C2=O,4.614393726401688,1,1
COc1ccc2c(c1)OC/C(=C\c1ccc(O)c(O)c1)C2=O,4.566230166075134,1,1
O=C(CCNc1ccc(O)cc1)N1c2ccccc2C=Cc2ccccc21,1.8153085691824016,1,0
O=C(CCNc1ccccc1O)N1c2ccccc2C=Cc2ccccc21,1.79317412396815,1,0
O=C(CCNc1cccc(O)c1)N1c2ccccc2C=Cc2ccccc21,1.7594507517174005,1,0
O=C(CCNc1ccc(O)c([N+](=O)[O-])c1)N1c2ccccc2C=Cc2ccccc21,1.8297382846050425,1,0
COc1cc(NCCC(=O)N2c3ccccc3C=Cc3ccccc32)ccc1O,1.856985199745905,1,0
O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,1.8794260687941504,0,0
COc1ccc(O)c(C(C)(C)C)c1.COc1ccc(O)cc1C(C)(C)C,1.8507808873446203,1,0
CC(C)(C)c1cc(O)ccc1O,4.443697499232713,1,1
COc1ccc(O)cc1-c1nc2cc(O)ccc2[nH]1,4.638272163982407,1,1
COc1cc(O)ccc1-c1nc2cc(O)ccc2[nH]1,4.568636235841013,1,1
COc1ccc(-c2nc3cc(O)ccc3[nH]2)c(OC)c1,4.494850021680094,1,1
Oc1cc(O)cc(-c2nc3cc(O)ccc3[nH]2)c1,4.585026652029182,1,1
Oc1ccc2[nH]c(-c3ccc(O)c(O)c3)nc2c1,4.481486060122113,1,1
Oc1ccc(-c2nc3cc(O)ccc3[nH]2)cc1,4.468521082957745,1,1
Oc1cccc(-c2nc3cc(O)ccc3[nH]2)c1,4.3979400086720375,1,1
Oc1ccc2[nH]c(-c3ccccc3O)nc2c1,4.522878745280337,1,1
Oc1ccc2[nH]c(-c3ccccc3)nc2c1,4.376750709602099,1,1
COc1ccc2[nH]c(-c3ccc(O)c(OC)c3)nc2c1,4.236572006437063,1,1
COc1ccc2[nH]c(-c3ccc(O)cc3O)nc2c1,3.889410289700751,1,0
COc1cc(C[C@@H](C)[C@@H](C)Cc2ccc(O)c(OC)c2)ccc1O,4.804100347590766,1,1
COc1cc(C[C@H](C)[C@H](C)Cc2ccc3c(c2)OCO3)ccc1O,4.479254528480518,1,1
COc1cc([C@H]2c3cc4c(cc3C[C@@H](C)[C@@H]2C)OCO4)ccc1O,3.742081549685942,1,0
COc1cc([C@@H]2c3cc(OC)c(O)cc3C=C(C)[C@H]2C)ccc1O,4.426432226960782,1,1
COc1cc([C@H]2O[C@H](c3ccc4c(c3)OCO4)[C@@H](C)[C@H]2C)ccc1O,4.632085261206248,1,1
O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,4.607654844638796,0,1
Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,4.569602408613033,1,1
COc1cc(C[C@@H](C)[C@@H](C)Cc2ccc(O)c(OC)c2)ccc1O,4.460422116654691,1,1
